word,value
berjihad,0.0
berjubal,-3.0
berkabung,-5.0
berkabut,-3.0
berkalang tanah,-2.0
berkarat,-4.0
berkarut,-5.0
berkasih-kasihan,-3.0
berkawan,-3.0
berkawanan,-4.0
berkeberatan,-4.0
berkecai,-5.0
berkecamuk,-4.0
berkecandan,-4.0
berkecenderungan,-3.0
berkejaran,-3.0
berkelakar,-4.0
berkelir,-3.0
berkelok-kelok,-2.0
berkelompok-kelompok,-4.0
berkeluarga,-1.0
berkemal,-4.0
berkemam,-3.0
berkemandang,-3.0
berkemas-kemas,-2.0
berkembang biak,-3.0
berkemih,-3.0
berkenalan,-3.0
berkeping-keping,-5.0
berkerak,-2.0
berkeras-kerasan,-4.0
berkerubung,-4.0
berkerumun,-4.0
berkerut,-2.0
berketar-ketar,-3.0
berkhianat,-5.0
berkilah,-4.0
berkisar,-3.0
berkolusi,-5.0
berkomplot,-4.0
berkongkalikong,-4.0
berkonspirasi,-4.0
berkorban,-3.0
berkuat,-0.5
berkuliah,-4.0
berkumandang,-3.0
berkunjung,-4.0
berkupak,-3.0
berkurang,-3.0
berkurangan,-3.0
berkurap,-4.0
berlabuh,-0.5
berlaga,-4.0
berlainan,-4.0
berlalu,-5.0
berlalu dr dunia,-5.0
berlama-lama,-2.0
berlandaskan,-4.0
berlangau,-4.0
berlanggaran,-4.0
berlara-lara,-4.0
berlarat-larat,-4.0
berlarian,-5.0
berlawanan,-4.0
berlebih,-1.0
berlebih-lebih,-4.0
berlelehan,-3.0
berlengkesa,-3.0
berlepasan,-3.0
berlibat-libat,-4.0
berlik,-4.0
berliku-liku,-4.0
berlinang,-3.0
berlipat,-3.0
berlipat ganda,-3.0
berlompatan,-5.0
berlubang,-3.0
berluruhan,-3.0
berlutut,-2.0
bermain-main,-2.0
bermesraan,-3.0
bermetamorfosis,-3.0
bermoral,-4.0
bermotif,-3.0
bermukah,-4.0
bermukim,-1.0
bermula,-4.0
bermuram durja,-5.0
bermusuhan,-4.0
bernas,-0.5
bernoda,-4.0
bernuansa,-3.0
berogak-ogak,-4.0
berolok-olok,-4.0
berombongan,-4.0
beromong kosong,-4.0
berona,-3.0
berongga,-3.0
beroperasi,-1.5
berpacaran,0.0
berpada-pada,-3.0
berpadu,-3.0
berpalit-palit,-4.0
berpangku tangan,-4.0
berparak,-4.0
berpartai,-3.0
berpasangan,-3.0
berpasuk,-3.0
berpencar,-5.0
berpencaran,-3.0
berperai-perai,-5.0
berperang,-0.5
berperang hati,-4.0
berperang mulut,-3.0
berpijar,-3.0
berpoleng,-3.0
berprasangka,-1.0
berproses,-1.0
berpuak-puak,-4.0
berpuaka,-3.0
berpucuk,-4.0
berpura-pura,-4.0
berpusu,-3.0
berputar-putar,-4.0
berputih tulang,-2.0
bersaba,-3.0
bersabung nyawa,-3.0
bersalah,-4.0
bersalahan,-4.0
bersandarkan,-4.0
bersanding,-5.0
bersanggit,-5.0
bersangkal,-5.0
bersangkut,-1.5
bersara,-3.0
bersatu,-1.0
bersebaran,-5.0
bersebelahan,-4.0
berseberangan,-3.0
bersedia,-1.0
bersedih,-5.0
bersekongkol,-4.0
bersekutu,-5.0
berselang,-3.0
berselawat,0.0
berselingkuh,-5.0
berselisih,-5.0
berseloroh,-4.0
bersempena,-3.0
bersempuras,-3.0
bersenda gurau,-4.0
bersendi,-4.0
bersendikan,-4.0
bersengaja,-2.0
bersengketa,-4.0
bersentuh,-5.0
bersepai,-5.0
berserah,-1.0
berserakan,-5.0
berserikat,-3.0
bersesak-sesak,-3.0
bersesal,-1.5
berseteru,-4.0
bersikukuh,-1.5
bersila,-1.0
bersilih,-3.0
bersimbah,-3.0
bersimpuh,0.0
bersinggungan,-3.0
bersipongang,-3.0
bersisalak,-4.0
bersitegang,0.0
bersiteguh,-1.5
bersokom,-4.0
bersuka-suka,-3.0
bersuka-sukaan,-3.0
bersungkawa,-3.0
bersurai,-3.0
bersusah,-5.0
bersusah hati,-5.0
bersusila,-4.0
bertabrakan,-4.0
bertaburan,-5.0
bertahan,0.0
bertaki,-3.0
bertala-tala,-3.0
bertalun-talun,-3.0
bertambah,-5.0
bertambun,-3.0
bertamu,-4.0
bertandang,-4.0
bertanding,-1.0
bertangkap,-3.0
bertapa,-3.0
bertapakkan,-4.0
bertara,-3.0
bertarak,-3.0
bertasyakur,-4.0
bertautan,-4.0
bertebaran,-5.0
bertekak,-4.0
bertekuk lutut,-3.0
bertelanjang,-3.0
bertele-tele,-3.0
bertelimpuh,-3.0
bertelinga lembut,-3.0
bertelingkah,-4.0
berteman,-3.0
bertemperasan,-3.0
bertempiar,-3.0
bertemu roma,-4.0
bertendensi,-3.0
bertengkar,-5.0
bertengkar mulut,-5.0
bertengkaran,-4.0
bertengking,-4.0
bertentangan,-4.0
berteraskan,-4.0
