word,value
komplet,3.0
konco,0.5
kondang,5.0
konferensi,2.0
konfirmasi,3.0
konfirmasikan,3.0
konfirmasinya,3.0
konformitas,4.0
konklusi,3.0
konkret,3.0
konsensus,3.0
konseptual,3.0
konsolidasi,3.0
konstelasi,2.0
konstruktif,3.0
konsultasi,3.0
kontan,3.0
kontemporer,3.0
kontributor,3.0
kooperasi,1.0
koordinasi,1.0
koordinasikan,1.0
koordinator,2.0
kosen,4.0
kreasi,3.0
kreatif,4.0
kreativitas,4.0
kredibel,3.0
krim,1.0
kroni,0.5
kuala,4.0
kualifikasi,2.0
kualitas,4.0
kuasa,3.0
kuat batin,3.0
kucil,1.0
kucup,2.0
kucur,4.0
kudus,4.0
kujarat,5.0
kunci,3.0
kundangan,5.0
kunjungi,3.0
kuntit,1.0
kunyah,3.0
kupon,3.0
kusa,3.0
kusuma,4.0
kuy,1.0
laba,4.0
labiovelar,4.0
labuh,3.0
labuhan,3.0
laden,3.0
lagu,2.0
lahir,3.0
lajnah,3.0
lakeri,3.0
lalu,3.0
lam,3.0
lambat,1.0
lambuk,3.0
lambung,2.0
lampu,4.0
lancar,1.0
lancarkan,3.0
lancung,3.0
langgam,2.0
langgan,2.0
langganan,4.0
langgeng,4.0
langkah,4.0
langkah baik,1.5
langkah kanan,3.0
langsung,3.0
lanjutkan,1.0
lantik,3.0
lantip,3.0
lapang,3.0
lapangan,3.0
lapisan,3.0
lapor,2.0
laporkan,2.0
latih,0.5
latih diri,4.0
laun,1.0
layanan,3.0
lebai,0.5
lebih,1.0
lebih-lebih,4.0
lebuk,3.0
lebun,3.0
legawa,4.0
legit,4.0
lektur,4.0
lelah,0.5
lemah,0.5
lemas,5.0
lembek,0.5
lembik,5.0
lembuk,3.0
lenggang,2.0
lentera,4.0
lestari,4.0
letih,0.5
lezat,5.0
liat,0.5
libur,3.0
liburan,3.0
licin,1.0
lihat,3.0
lila,4.0
limbukan,3.0
limpah,1.0
lincah,0.5
lindu,4.0
lindung,4.0
lingkungan,3.0
lini,4.0
linuhung,3.0
liputan,3.0
live,3.0
longgar,3.0
longo,3.0
losmen,2.0
love,1.0
lovers,4.0
luas,3.0
luck,4.0
lucu,0.5
lugas,4.0
lugu,1.0
luk,3.0
lukis,2.0
lukisan,2.0
luluh,1.0
lulus,5.0
lunak,5.0
lunas kapal,2.0
lunch,3.0
lupain,1.0
lupakan,1.0
lurus,4.0
lurus hati,1.0
mabrur,4.0
maen,3.0
mafhum,1.0
maha,4.0
mahabah,4.0
mahal,1.0
mahdi,3.0
mahfum,4.0
mahir,1.5
maimun,4.0
majenun,0.5
majubersama,3.0
makanan,3.0
makasih,4.0
makbul,3.0
makhluk,3.0
makin,2.0
maklum,0.5
makmur,4.0
makna,5.0
makruf,4.0
maksimal,3.0
maksud,1.0
malayari,3.0
malim,3.0
mama,4.0
mamak,2.0
mancing,2.0
mandraguna,4.0
manfaat,5.0
manfaatnya,3.0
manggala,3.0
manila,5.0
manis,1.5
manja,1.0
manjur,1.5
mantap,5.0
manusia,3.0
mapan,3.0
margrit,3.0
mari,1.5
martabat,5.0
masa kini,3.0
masakan,3.0
masjid,3.0
maskapai,3.0
maslahat,3.0
masygul,0.5
mata cahari,2.0
mata gawai,4.0
mata pencaharian,2.0
matahari,2.0
mau,2.0
maujud,2.0
maut,4.0
medali,4.0
medium,2.0
mekar,3.0
