word,big
badmood,-0.8
badung,-0.8
bagaimana pun,-0.4
bagal,-0.6
bagi,-0.4
bagian,-0.8
baginda,-0.3
bah,-0.6
bahala,-0.6
bahan,-0.6
bahasa,-0.8
bahaya,-0.875
bahlul,-1.0
bahtera,-0.6
baiat,-0.6
bait,-0.6
bajak,-0.8
bajing,-0.5
bakal,-0.75
bakar,-0.3
bakhil,-0.44
baki,-0.5
baktau,-1.0
baku,-0.3
bala,-1.0
bala bencana,-1.0
balai,-0.6
balairung,-0.6
balas,-0.3
balela,-0.8
bales,-0.6
balesnya,-0.4
balik,-0.6
balik adab,-0.625
balik akal,-0.8
balik gagang,-1.0
balkon,-0.6
balung,-0.8
balur,-0.8
bambu,-0.6
bambung,-0.675
banal,-0.6
banat,-0.8
bancang,-1.0
banci,-0.5
bandang,-0.8
bandar,-0.8
bandel,-0.815
bandingan,-0.5
bandit,-1.0
bando,-0.8
bandung,-0.2
bangan,-0.3
bangang,-0.675
bangbung,-0.8
bangett,-0.4
bangkai,-0.8
bangkang,-0.8
bangkit,-0.4
bangkot,-0.8
bangkrut,-0.625
bangle,-0.8
bangpak,-0.69
bangsai,-0.75
bangsal,-0.6
bangsat,-0.94
bangsawan,-0.3
bangun,-0.5
bantah,-0.6
bantai,-1.0
bantar,-0.8
banteng,-0.6
bantet,-0.6
banting,-0.3
bantu,-0.4
banyak bicara,-0.6
banyak cakap,-0.8
banyak cincong,-0.8
banyak mulut,-0.8
banyak omong,-0.8
banyol,-0.6
baper,-0.4
baperan,-0.8
bapet,-0.8
bara,-0.3
baran,-0.75
barbar,-1.0
baret,-0.6
barkas,-1.0
barua,-1.0
barut,-0.6
barzakh,-0.8
basah kuyup,-0.88
basi,-0.75
baskom,-0.8
basmi,-1.0
bastar,-0.4
batal,-0.815
batalion,-1.0
batang,-0.8
batas,-0.6
batas waktu,-0.6
batel,-0.8
baterai,-0.6
batil,-0.8400000000000001
batu berdahak,-0.8
batu loncatan,-0.6
batuk,-0.8
batuk darah,-0.8
batuk kecil,-0.8
batuk kering,-0.6
batuk lelah,-0.8
batuk-batuk,-0.8
batung-batung,-0.8
bau,-0.8
bau kencur,-0.8
bau tanah,-0.4
bawa,-0.3
bawah,-0.5
bawahan,-0.75
bawain,-0.6
bawel,-0.8
baya,-0.8
bayar,-0.3
bayi,-0.6
bayu,-0.8
bebal,-0.49
beban,-1.0
bebas,-0.64
bebat,-0.6
bebel,-1.0
becak,-1.0
becek,-0.8
beda,-0.4
bedebah,-0.5
bedegong,-0.7150000000000001
bedel,-0.8
bedeng,-0.6
bedol,-0.8
begadang,-0.6
begah,-0.4
begak,-0.6
begal,-1.0
begana-begini,-0.8
begini,-0.2
beginian,-0.6
begitu saja,-0.4
bego,-0.75
begu,-0.8
beguk,-0.8
begundal,-0.6
bejat,-0.875
bekap,-0.6
bekicot,-0.8
beku,-0.63
belah,-1.0
belah ketupat,-0.8
belai,-0.8
belaian,-0.6
belain,-0.4
belaka,-0.54
belam,-0.6
belang,-1.0
belanja,-0.3
belas,-0.3
belati,-0.8
belembang,-1.0
belendung,-0.6
belenggu,-0.6
beleter,-0.8
beli,-0.3
